Incident #,Time,Date Occurred,Description,Location,Disposition,Day Occurred,Month Occurred,Year Occurred
19-05419,1128,4/14/19,Motor Vehicle Collision (Hit & Run),Perkins Parking Garage,Arrest,14,4,2019
19-05432,1402,4/13/19,Theft,Independence Hall,Pending,13,4,2019
19-05436,1453,4/13/19,Possession of Marijuana,James Smith Hall,Administrative Sanction,13,4,2019
19-05448,1714,4/13/19,Underage Consumption,N College Ave/W Main St,Arrest,13,4,2019
19-05483,0143,4/14/19,Underage Consumption,Harter Hall,Administrative Sanction,14,4,2019
19-05510,1458,4/12/19,Theft,Caesar Rodney B,Pending,12,4,2019
19-05543,0238,4/15/19,Trespass,Smith Hall,Arrest,15,4,2019
19-05559,0923,4/15/19,Graffiti,Housing Operations Cente,Pending,15,4,2019
19-05582,1705,4/15/19,DUI,Trabant University Center,Arrest,15,4,2019
19-05625,1421,4/16/19,Motor Vehicle Collision (Hit & Run),Old College Hall,Pending,16,4,2019
19-05654,0054,4/17/19,Possession of Marijuana,E Delaware Ave/Tyre Ave,Civil Assessment,17,4,2019
19-05682,1126,4/11/19,Harassment,Lot 46,Pending,11,4,2019
19-05703,1832,4/17/19,Harassment,Caesar Rodney Dining Hall,Pending,17,4,2019
19-05740,1127,4/16/19,Theft,Caesar Rodney Dining Hall,Pending,16,4,2019
19-05759,1536,4/18/19,Harassment,Pearson Hall,Arrest,18,4,2019
19-05765,1650,4/18/19,Motor Vehicle Collision (Hit & Run),STAR Campus,Pending,18,4,2019
19-05791,0049,4/19/19,Underage Consumption,Kent Hall,Administrative Sanction,19,4,2019
19-05798,0233,4/19/19,Possession of Marijuana,South Academy Residence Hall,Arrest,19,4,2019
19-05818,1048,4/19/19,Theft,Christiana Towers,Pending,19,4,2019
19-05819,1121,4/19/19,Damaged Property,Pearson Hall,Pending,19,4,2019
19-05838,1831,4/18/19,Theft,Russell A,Pending,18,4,2019
19-05855,2352,4/19/19,Possession of a Controlled Substance/ Drug Paraphernalia,Academy St/Lovett Ave,Civil Assessment,19,4,2019
19-05856,2358,4/19/19,Underage Consumption,Hugh Morris Library,Arrest,19,4,2019
19-05912,0033,4/21/19,Motor Vehicle Collision (Hit & Run),Marriot Hotel,Pending,21,4,2019
19-05916,0207,4/21/19,DUI,E Park Pl,Arrest,21,4,2019
19-05956,1136,4/22/19,Harassment,Russell C,Exceptionally Clear,22,4,2019
19-05974,1831,4/22/19,Harassment,UDPD,Pending,22,4,2019
19-06033,1637,4/23/19,Harassment,Christiana Towers,Pending,23,4,2019
19-06039,1812,4/23/19,Disorderly Conduct,Fred Rust Ice Arena,Exceptionally Clear,23,4,2019
19-06068,0156,4/24/19,DUI,E Main St/Library Ave,Arrest,24,4,2019
19-06099,1605,4/24/19,Harassment,UD Transportation Services,Pending,24,4,2019
19-06115,0106,4/25/19,Underage Consumption,Graham Hall,Administrative Sanction,25,4,2019
19-06117,0122,4/25/19,Alcohol Violation,S College Ave/Winslow Rd,Administrative Sanction,25,4,2019
19-06120,0159,4/25/19,DUI,Delaware Ave/Tyre Ave,Arrest,25,4,2019
19-06129,0807,4/25/19,Motor Vehicle Collision (Hit & Run),Trabant University Center,Pending,25,4,2019
19-06159,1820,4/25/19,Theft,Hugh Morris Library,Pending,25,4,2019
19-06212,2042,4/26/19,Theft,Caesar Rodney B,Pending,26,4,2019
19-06214,2114,4/26/19,Possession of Marijuana,Calvary Baptist Church,Civil Assessment,26,4,2019
19-06226,0003,4/27/19,Possession of Marijuana,Laird Campus,Arrest,27,4,2019
19-06249,0256,4/27/19,DUI,E Delaware Ave,Arrest,27,4,2019
19-06257,0353,4/27/19,Possession of Marijuana,Christiana Towers,Civil Assessment,27,4,2019
19-06267,0801,4/27/19,Graffiti,CFA Parking Garage,Pending,27,4,2019
19-06275,1217,4/27/19,Harassment,Townsend Hall,Exceptionally Clear,27,4,2019
19-06279,1333,4/27/19,Underage Consumption,Academy St/E Park Pl,Arrest,27,4,2019
19-06280,1349,4/27/19,Disorderly Conduct,South Academy Residence Hall,Pending,27,4,2019
19-06285,1545,4/27/19,Open Container,E Park Pl,Arrest,27,4,2019
19-06287,1558,4/27/19,Underage Consumption,S College Ave,Administrative Sanction,27,4,2019
19-06289,1619,4/27/19,Rape,Harrington Hall E,Pending,27,4,2019
19-06292,1726,4/26/19,Theft,Trabant University Center,Pending,26,4,2019
19-06301,2044,4/27/19,Possession of Marijuana,Laird Campus,Civil Assessment,27,4,2019
19-06305,2118,4/27/19,Graffiti,Russell D,Pending,27,4,2019
19-06329,0114,4/18/19,Public Intoxication,E Delaware Ave,Exceptionally Clear,18,4,2019
19-06342,0431,4/28/19,Possession of a Controlled Substance/ Drug Paraphernalia,Academy St/Lovett Ave,Civil Assessment,28,4,2019
19-06348,0922,4/28/19,Damaged Property,Louis Redding Hall,Pending,28,4,2019
19-06353,1205,4/28/19,Possession of a Controlled Substance/ Drug Paraphernalia,Kirkbride Hall,Arrest,28,4,2019
19-06359,1524,4/28/19,Disorderly Conduct,Hannah Stadium,Exceptionally Clear,28,4,2019
19-06383,0118,4/28/19,Damaged Property,Memorial Hall,Pending,28,4,2019
19-06407,1332,4/29/19,Damaged Property,Delaware Field House,Pending,29,4,2019
19-06411,1504,4/28/19,Theft,Trabant University Center,Pending,28,4,2019
19-06416,1614,4/20/19,Motor Vehicle Collision (Hit & Run),Rust Arena,Pending,20,4,2019
19-06431,2050,4/27/19,Theft,Sharp Lab,Pending,27,4,2019
19-06464,1329,4/21/19,Harassment,UDPD,Exceptionally Clear,21,4,2019
19-06466,1339,4/29/19,Damaged Property,Harrington Hall A,Pending,29,4,2019
19-06473,1655,4/30/19,Theft,Kirkbride Hall,Pending,30,4,2019
19-06495,2239,4/30/19,Public Intoxication,W Main St/S College Ave,Arrest,30,4,2019
19-06508,0211,5/1/19,Disorderly Conduct,South Academy Residence Hall,Administrative Sanction,1,5,2019
19-06516,0812,10/4/19,Theft,STAR Campus,Pending,4,10,2019
19-06528,1044,1/1/19,Theft,Wilmington Campus,Pending,1,1,2019
19-06543,1934,11/1/18,Theft,Brown Lab,Pending,1,11,2018
19-06549,2221,5/1/19,Possession of Marijuana,Laird Campus,Civil Assessment,1,5,2019
19-06553,2249,5/1/19,Possession of Marijuana,Hillside Rd/W Main St,Arrest,1,5,2019
19-06572,0638,5/2/19,Damaged Property,Mechanical Hall,Pending,2,5,2019
19-06587,1452,5/2/19,Fugitive,Haines St/E Delaware Ave,Arrest,2,5,2019
19-06592,1717,5/2/19,Graffiti,Trabant University Center,Pending,2,5,2019
19-06619,2357,5/2/19,Disorderly Conduct,Independence Hall East,Arrest,2,5,2019
19-06640,0506,5/3/19,Public Intoxication,Quantum Leap Innovations,Arrest,3,5,2019
19-06651,0908,5/2/19,Invasion of Privacy,Chemours,Exceptionally Clear,2,5,2019
19-06708,0151,5/4/19,Assist Other Agency,NPD,Administrative Sanction,4,5,2019
19-06727,1422,5/4/19,Damaged Property,Innternationale House,Pending,4,5,2019
19-06752,2139,5/4/19,Harassment,Independence Hall West,Exceptionally Clear,4,5,2019
19006771,0309,5/5/19,Underage Consumption,Harrington Hall E,Administrative Sanction,5,5,2019
19-06772,0313,5/5/19,Underage Consumption,Russell E,Administrative Sanction,5,5,2019
19-06804,0125,5/6/19,Offensive Touching,Harter Hall,Arrest,6,5,2019
19-06848,1915,5/6/19,Underage Consumption,Laird Campus,Arrest,6,5,2019
19-6864,0225,5/7/19,Trespass,Innovation Way,Arrest,7,5,2019
19-6894,1414,5/7/19,Motor Vehicle Collision (Hit & Run),CFA Parking Garage,Pending,7,5,2019
19-6902,1707,5/7/19,Theft,Ray Street Hall C,Pending,7,5,2019
19-06945,1210,5/7/19,Theft,Harrington Hall A,Pending,7,5,2019
19-06944,1219,5/8/19,Disorderly Conduct,George Read Hall,Administrative Sanction,8,5,2019
19-06952,1232,5/8/19,Theft,Center for the Arts,Pending,8,5,2019
19-06948,1235,5/8/19,Extortion,Graham Hall,Pending,8,5,2019
19-06963,1751,5/8/19,Theft,George Read Hall,Pending,8,5,2019
19-07009,1511,5/9/19,Theft,Christiana Towers,Administrative Sanction,9,5,2019
19-07028,1950,5/9/19,Underage Consumption,Bob Carpenter Center,Administrative Sanction,9,5,2019
19-07027,1949,5/9/19,Offensive Touching,Bob Carpenter Center,Exceptionally Clear,9,5,2019
19-07052,0115,5/10/19,Underage Consumption,Gilbert Hall,Administrative Sanction,10,5,2019
19-07070,0714,5/10/19,Theft,Caesar Rodney Dining Hall,Pending,10,5,2019
19-07124,0056,5/11/19,Underage Consumption,Russell E,Administrative Sanction,11,5,2019
19-07132,0310,5/11/19,Underage Consumption,Harrington Commons,Arrest,11,5,2019
19-07153,1552,5/11/19,Motor Vehicle Collision (Hit & Run),CFA Parking Garage,Pending,11,5,2019
19-07162,2000,5/11/19,Trespass,Caesar Rodney Residence Hall,Administrative Sanction,11,5,2019
19-07175,0238,5/12/19,Theft,Russell D,Pending,12,5,2019
19-07176,0309,5/12/19,Possession of Marijuana,Gilbert Hall,Civil Assessment,12,5,2019
19-07186,1155,5/12/19,Trespass,Pencader Dining Hall,Pending,12,5,2019
19-07202,0140,5/13/19,Possession of Marijuana,Lot #6,Civil Assessment,13,5,2019
19-07217,1031,5/13/19,Damaged Property,Christiana Towers,Pending,13,5,2019
19-07224,1240,4/26/19,Theft,University Courtyard Apartments,Pending,26,4,2019
19-07234,1908,5/9/19,Theft,Hugh Morris Library,Pending,9,5,2019
19-07239,2200,5/13/19,Fugitive,W Main St/S Main St,Arrest,13,5,2019
19-07283,2157,5/14/19,Possession of Marijuana,Delaware Ave/Scholar Dr,Arrest,14,5,2019
19-07330,1439,5/15/19,DUI,E Park Pl/S College Ave,Arrest,15,5,2019
19-07409,2014,5/16/19,Theft,Thomas McKean Hall,Pending,16,5,2019
19-07410,2036,5/16/19,Graffiti,Thomas McKean Hall,Pending,16,5,2019
19-07423,2250,5/16/19,Underage Consumption,George Read Hall,Administrative Sanction,16,5,2019
19-07438,0346,5/17/19,Trespass,Harrington Hall A,Pending,17,5,2019
19-07495,2226,5/17/19,DUI,W Park Pl/Orchard Rd,Arrest,17,5,2019
19-07497,2330,5/17/19,Possession of Marijuana,S Chapel St,Arrest,17,5,2019
19-07506,0135,5/18/19,Underage Consumption,Academy St/E Main St,Administrative Sanction,18,5,2019
19-07513,0229,5/18/19,Underage Consumption,James Smith Hall,Administrative Sanction,18,5,2019
19-07516,0321,5/18/19,DUI,Academy St/ Delaware Ave,Arrest,18,5,2019
19-07517,0324,5/18/19,Underage Consumption,Russell D,Administrative Sanction,18,5,2019
19-07518,0417,5/18/19,Underage Consumption,Harrington Commons,Arrest,18,5,2019
19-07525,1029,5/18/19,Damaged Property,Russell D,Arrest,18,5,2019
19-07526,1030,5/18/19,Graffiti,Gilbert Hall,Pending,18,5,2019
19-07536,1537,5/18/19,Theft,Hugh Morris Library,Pending,18,5,2019
19-07543,1655,5/18/19,Disorderly Conduct,Kershaw St,Administrative Sanction,18,5,2019
19-07544,1704,5/18/19,Harassment,Thompson Hall,Administrative Sanction,18,5,2019
19-07545,1655,5/18/19,Disorderly Conduct,Benny St,Administrative Sanction,18,5,2019
19-07553,2040,5/18/19,Underage Consumption,Ray Street Hall A,Administrative Sanction,18,5,2019
19-07555,2122,5/18/19,Motor Vehicle Collision (Hit & Run),James Smith Hall,Pending,18,5,2019
19-07562,2357,5/18/19,Possession of Marijuana,Delaware Ave/Tyre Ave,Arrest,18,5,2019
19-07568,0204,5/19/19,Underage Consumption,Louis Redding Hall,Administrative Sanction,19,5,2019
19-07572,0239,5/19/19,Disorderly Conduct,Russell E,Exceptionally Clear,19,5,2019
19-07574,0302,5/19/19,Underage Consumption,Russell D,Administrative Sanction,19,5,2019
19-07588,1312,5/19/19,Damaged Property,Christiana Towers,Pending,19,5,2019
19-07595,1754,5/19/19,Damaged Property,Hullihen Hall,Pending,19,5,2019
19-07626,1214,5/20/19,Attempted Extortion,Townsend Hall,Pending,20,5,2019
19-07630,1320,5/20/19,Damaged Property,Purnell Hall,Pending,20,5,2019
19-07631,1347,5/18/19,Damaged Property,George Read Hall,Pending,18,5,2019
19-07649,2232,5/20/19,Underage Consumption,David Hollowell Dr/ New London Rd,Administrative Sanction,20,5,2019
19-07655,2308,5/20/19,Possession of Marijuana,Laird Campus,Civil Assessment,20,5,2019
19-07686,1227,5/21/19,Fraud,Student Services Building,Pending,21,5,2019
19-07709,2218,5/21/19,Possession of a Controlled Substance/ Drug Paraphernalia,Christiana Towers,Civil Assessment,21,5,2019
19-07715,2325,5/21/19,Possession of Marijuana,S College Ave/Kent Wy,Arrest,21,5,2019
19-07716,2324,5/21/19,Trespass,Thompson Hall,Pending,21,5,2019
19-07764,1837,5/21/19,Motor Vehicle Collision (Hit & Run),Lot #6,Pending,21,5,2019
19-07775,2338,5/22/19,Possession of Marijuana,W Delaware Ave/Orchard Rd,Arrest,22,5,2019
19-07776,0054,5/23/19,Possession of Marijuana,Harrington Commons,Civil Assessment,23,5,2019
19-07808,1635,5/23/19,Theft,Christiana Towers,Pending,23,5,2019
19-07811,1637,5/23/19,Theft,Christiana Towers,Pending,23,5,2019
19-07826,0016,5/24/19,Public Intoxication,Hugh Morris Library,Arrest,24,5,2019
19-07838,0915,5/24/19,Damaged Property,Delaware Field House,Pending,24,5,2019
19-07847,1047,5/24/19,Theft,DuPont Lab,Pending,24,5,2019
19-07849,1802,5/24/19,Burglary,Spencer Lab,Pending,24,5,2019
19-07857,1712,5/24/19,Reckless Burning,Thompson Hall,Pending,24,5,2019
19-07919,1405,5/25/19,Theft,Harter Hall,Pending,25,5,2019
19-07925,1838,5/24/19,Theft,Lane Hall,Unfounded,24,5,2019
19-07944,2300,5/25/19,Traffic Violation/Fugitve,E Delaware Ave/S College Ave,Arrest,25,5,2019
19-07947,2354,5/25/19,Disorderly Conduct,Deer Park Tavern,Exceptionally Clear,25,5,2019
19-07951,0045,5/26/19,DUI,Delaware Ave/The Green,Arrest,26,5,2019
19-07952,0115,5/26/19,DUI,W Main St/Corbit St,Arrest,26,5,2019
19-07954,0151,5/26/19,Underage Consumption,Smyth Hall,Administrative Sanction,26,5,2019
19-07969,1341,5/26/19,Trespass,Brown Lab,Arrest,26,5,2019
19-07997,0008,5/27/19,Alcohol Violation,Louis Redding Hall,Administrative Sanction,27,5,2019
19-08004,0124,5/26/19,Theft,Hugh Morris Library,Pending,26,5,2019
19-08005,0130,5/27/19,DUI,Lot #19,Arrest,27,5,2019
19-08039,1953,5/27/19,Damaged Property,Thompson Hall,Pending,27,5,2019
19-08060,0207,5/27/19,Motor Vehicle Collision (Hit & Run),Hugh Morris Library,Pending,27,5,2019
19-08071,1006,5/28/19,Damaged Property,Ray Street Hall C,Pending,28,5,2019
19-08077,1523,5/28/19,Sexual Extortion,Harrington Hall A,Pending,28,5,2019
19-08078,1539,5/18/19,Theft,Ray Street Hall A,Pending,18,5,2019
19-08086,1743,9/3/18,Theft,Independence Hall,Pending,3,9,2018
19-08131,1218,5/29/19,Extortion,Harter Hall,Pending,29,5,2019
19-08139,1617,5/29/19,Receiving Stolen Property,Hugh Morris Library,Arrest,29,5,2019
19-08151,1845,5/29/19,Public Intoxication,Caesar Rodney Residence Hall,Administrative Sanction,29,5,2019
19-08164,2116,5/29/19,Disorderly Conduct,BCC Parking Lot,Pending,29,5,2019
19-08310,1425,5/31/19,Motor Vehicle Collision (Hit & Run),Lot #19,Pending,31,5,2019
19-08338,0035,6/1/19,Disorderly Conduct,Hugh Morris Library,Administrative Sanction,1,6,2019
19-08370,1231,6/1/19,Theft,George Read Hall,Exceptionally Clear,1,6,2019
19-08403,2046,6/2/19,Motor Vehicle Collision (Hit & Run),Bob Carpenter Center,Pending,2,6,2019
19-08419,0837,6/3/19,Motor Vehicle Collision (Hit & Run),Old College Hall,Arrest,3,6,2019
19-08425,1256,6/3/19,Disorderly Conduct,Lerner Hall,Exceptionally Clear,3,6,2019
19-08433,1527,6/3/19,DUI,I-95/896,Arrest,3,6,2019
19-08435,1634,5/28/19,Theft,Pencader Dining Hall,Pending,28,5,2019
19-08526,0023,6/6/19,DUI,East Cleveland Ave,Arrest,6,6,2019
19-08533,0847,5/4/19,Theft,STAR Campus,Pending,4,5,2019
19-08574,0130,6/7/19,DUI,S College Ave/Ritter Ln,Arrest,7,6,2019
19-08590,1609,5/30/19,Harassment,Worrilow Hall,Pending,30,5,2019
19-08701,1719,6/9/19,Offensive Touching,Bob Carpenter Center,Exceptionaly Clear,9,6,2019
19-08744,1527,6/10/19,Theft,STAR Campus,Pending,10,6,2019
19-08803,0601,6/12/19,Trespass,Center for the Arts,Arrest,12,6,2019
19-08854,0854,6/6/19,Damaged Property,Fred Rust Ice Arena,Pending,6,6,2019
19-08875,2019,6/13/20,Public Intoxication,E Main St,Exceptionally Clear,13,6,2020
19-08956,1131,6/15/20,Motor Vehicle Collision (Hit & Run),University Courtyard Apartments,Arrest,15,6,2020
19-08991,1450,6/17/19,Trespass,STAR Campus,Exceptionally Clear,17,6,2019
19-09015,0118,6/18/19,Possession of Marijuana,N Chapel St/E Main St,Civil Assessment,18,6,2019
19-09065,1845,6/18/19,Motor Vehicle Collision (Hit & Run),Carpenter Sport Building,Pending,18,6,2019
19-09080,2359,6/18/19,Traffic Violation/Fugitve,McKees Ln/E Main St,Civil Assessment,18,6,2019
19-09081,0012,6/19/19,DUI,S Main St/Amstel Ave,Arrest,19,6,2019
19-09082,0025,6/19/19,Possession of Marijuana,S Main St/Amstel Ave,Civil Assessment,19,6,2019
19-09220,0113,6/22/19,DUI,Academy St/Lovett Ave,Arrest,22,6,2019
19-09231,0255,6/22/19,DUI,E Chestnut Hill Rd/ Sincock Ln,Arrest,22,6,2019
19-09252,2237,6/22/19,DUI,W Delaware Ave/Orchard Rd,Arrest,22,6,2019
19-09261,2338,6/22/19,DUI,E Main St/S College Ave,Arrest,22,6,2019
19-09269,0156,6/23/19,DUI,W Park Pl/S College Ave,Arrest,23,6,2019
19-09276,1017,6/23/19,Trespass,Harrington Commons,Arrest,23,6,2019
19-09299,2220,6/23/19,Possession of a Controlled Substance/ Drug Paraphernalia,Academy St/E Delaware Ave,Civil Assessment,23,6,2019
19-09336,1446,6/24/19,Possession of Marijuana,Academy St/E Delaware Ave,Civil Assessment,24,6,2019
19-09363,0711,6/25/19,Graffiti,Trabant University Center,Pending,25,6,2019
19-09475,2012,6/27/19,Possession of Marijuana,Academy St/E Park Pl,Civil Assessment,27,6,2019
19-09489,0650,6/28/19,Theft,College School Parking Lot,Pending,28,6,2019
19-09559,0017,6/30/19,DUI,East Delaware Ave/Library Ave,Arrest,30,6,2019
19-09583,0018,7/1/19,Resisting Arrest,Elkton Rd/ Christiana Pkwy,Arrest,1,7,2019
19-09587,0157,7/1/19,Public Intoxication,East Delaware Ave/S Chapel St,Arrest,1,7,2019
19-09671,1447,7/2/19,Damaged Property,Lot #19,Exceptionally Clear,2,7,2019
19-09765,2142,7/4/19,Offensive Touching,Bob Carpenter Center,Arrest,4,7,2019
19-09770,2251,7/4/19,Motor Vehicle Collision (Hit & Run),Delaware Stadium,Pending,4,7,2019
19-09772,2345,7/4/19,DUI,W Cleveland Ave/North College Ave,Arrest,4,7,2019
19-09791,1213,7/5/19,Trespass,Bob Carpenter Center,Exceptionally Clear,5,7,2019
19-09982,0830,7/10/19,Theft,Fred Rust Ice Arena,Pending,10,7,2019
19-09994,1134,7/9/19,Motor Vehicle Collision (Hit & Run),Trabant University Center,Pending,9,7,2019
19-10028,0042,7/11/19,Possession of Marijuana,Lot #7,Civil Assessment,11,7,2019
19-10083,0652,7/12/19,Graffiti,Center for the Arts,Pending Inactive,12,7,2019
19-10120,2245,7/12/19,Possession of a Controlled Substance/ Drug Paraphernalia,Elwood Roy Ave/New London Rd,Civil Assessment,12,7,2019
19-10123,2249,7/11/19,Theft,Trabant University Center,Pending,11,7,2019
19-10127,0123,7/13/19,DUI,S Chapel St,Arrest,13,7,2019
19-10133,0117,7/13/19,Possession of Marijuana,South Chapel St,Civil Assessment,13,7,2019
19-10134,0149,7/13/19,DUI,South Chapel St,Arrest,13,7,2019
19-10146,0843,7/13/19,Trespass,University Courtyard Apartments,Arrest,13,7,2019
19-10152,1045,7/13/19,Assist Other Agency,Anita Dr,Service Clear,13,7,2019
19-10208,1255,7/15/19,Trespass,Student Services Building,Pending,15,7,2019
19-10214,1624,7/15/19,Graffiti,Graham Hall,Pending,15,7,2019
19-10256,0703,7/16/19,Theft,UDPD,Unfounded,16,7,2019
19-10444,2118,7/19/19,Traffic Violation/Fugitve,S College Ave/ Ritter Ln,Arrest,19,7,2019
19-10480,1450,7/20/19,Theft,James Smith Hall,Pending,20,7,2019
19-10573,1442,7/9/19,Theft,Delaware Biotechnology Institute,Pending,9,7,2019
19-10596,2233,7/22/19,DUI,W Main St/Corbit St,Arrest,22,7,2019
19-10654,0125,7/24/19,DUI,N College Ave/Ray St,Arrest,24,7,2019
19-10664,0714,7/23/19,Graffiti,Trabant University Center,Pending,23,7,2019
19-10707,0146,7/25/19,DUI,Hillside Rd/Apple Rd,Arrest,25,7,2019
19-10808,2139,7/26/19,Receiving Stolen Property,George Read Hall,Arrest,26,7,2019
19-10828,1239,7/25/19,Theft,Smith Hall,Pending,25,7,2019
19-10975,2341,7/30/19,DUI,Delaware Ave/ Orchard Rd,Arrest,30,7,2019
19-11018,0109,8/1/19,DUI,Library Ave/Route 273,Arrest,1,8,2019
19-11023,0643,8/1/19,Trespass,Newark Regional Train Station,Arrest,1,8,2019
19-11052,0100,8/2/19,DUI,Corbit St,Arrest,2,8,2019
19-11085,1401,7/28/19,Motor Vehicle Collision (Hit & Run),Lot #202,Pending,28,7,2019
19-11142,1935,8/3/19,Carrying Concealed Deadly Weapon/Endangering the Welfare/Possession of a Firearm,Independence Hall,Arrest,3,8,2019
19-11152,0056,8/4/19,DUI,Hillside Rd/Sypherd Dr,Arrest,4,8,2019
19-11153,0134,8/4/19,Underage Consumption,James Smith Hall,Civil Assessment,4,8,2019
19-11173,1430,8/4/19,Trespass,ROTC,Exceptionally Clear,4,8,2019
19-11192,0209,8/5/19,DUI,S Main S/W Delaware Ave,Arrest,5,8,2019
19-11198,0715,8/5/19,Theft,Computing Center,Pending,5,8,2019
19-11213,1224,8/4/19,Theft,University Courtyard Apartments,Pending,4,8,2019
19-11220,1312,8/5/19,Harassment,Bloom Energy,Pending,5,8,2019
19-11259,1347,8/5/19,Theft,Ewing Hall,Pending,5,8,2019
19-11266,1654,2/1/19,Theft,Ewing Hall,Pending,1,2,2019
19-11290,0919,7/30/19,Theft,CFA Parking Garage,Pending,30,7,2019
19-11291,0938,8/7/19,Breach of Release,Bloom Energy,Arrest,7,8,2019
19-11340,0820,7/25/19,Littering,Hartshorn Hall,Pending,25,7,2019
19-11360,1708,8/8/19,Motor Vehicle Collision (Hit & Run),Pearson Hall,Pending,8,8,2019
19-11370,2210,8/8/19,Receiving Stolen Property,Sypherd Hall,Pending,8,8,2019
19-11387,0607,8/9/19,Damaged Property,Harrington Commons,Pending,9,8,2019
19-11393,1013,6/16/19,Fraud,Allison Hall,Pending,16,6,2019
19-11422,0440,8/10/20,Fugitive,WaWa,Arrest,10,8,2020
19-11442,2104,8/10/20,DUI,General Services Parking Lot,Arrest,10,8,2020
19-11472,0617,8/10/19,Theft,Worrilow Hall,Exceptionally Clear,10,8,2019
19-11482,1053,8/12/19,Theft,Hugh Morris Library,Pending,12,8,2019
19-11516,0202,8/13/19,Traffic Violation/Fugitve,E Delaware Ave/Tyre Ave,Pending,13,8,2019
19-11652,0000,8/16/19,Assist Other Agency,Newark Police Department,Administrative Sanction,16,8,2019
19-11656,0026,8/16/19,Assist Other Agency,Newark Police Department,Administrative Sanction,16,8,2019
19-11717,0120,8/17/19,DUI,S College Ave/Discovery Blvd,Arrest,17,8,2019
19-11765,2220,8/17/19,Fugitive,E Delaware Ave/S College Ave,Exceptionally Clear,17,8,2019
19-11777,0021,8/18/19,Underage Consumption,N Chapel St,Administrative Sanction,18,8,2019
19-11781,0058,8/18/18,Assist Other Agency,Red Roof Inn,Service Clear,18,8,2018
19-11847,1158,8/19/19,Motor Vehicle Collision (Hit & Run),Lot #19,Pending,19,8,2019
19-11875,0209,8/20/19,Disorderly Conduct,Red Roof Inn,Exceptionally Clear,20,8,2019
19-11880,0852,8/19/19,Graffiti,Mentor Circle,Pending,19,8,2019
19-11887,1132,8/6/19,Theft,Brown Lab,Pending,6,8,2019
19-11952,1844,8/20/19,Theft,Pencader Dining Hall,Pending,20,8,2019
19-12032,2234,8/22/19,Public Intoxication,N Chapel St,Administrative Sanction,22,8,2019
19-12038,0116,8/23/19,DUI,W Delaware Ave/Orchard Rd,Arrest,23,8,2019
19-12054,1000,8/23/19,Harassment,UDPD,Pending,23,8,2019
19-12088,2229,8/23/19,Underage Consumption,Center St/Linden St,Administrative Sanction,23,8,2019
19-12152,2116,8/24/19,Graffiti,Ray Street Hall C,Pending,24,8,2019
19-12156,2214,8/24/19,Possession of Marijuana,Tyre Ave/Delaware Ave,Civil Assessment,24,8,2019
19-12166,0013,8/25/19,Underage Consumption,Louis Redding Hall,Exceptionally Clear,25,8,2019
19-12167,0017,8/25/19,Underage Consumption,University Courtyard Apartments,Administrative Sanction,25,8,2019
19-12168,0035,8/25/19,Disorderly Conduct,Newark Police Dept,Administrative Sanction,25,8,2019
19-12169,0039,8/25/19,Public Intoxication,Courtney St/Haines St,Administrative Sanction,25,8,2019
19-12170,0044,8/25/19,Underage Consumption,Harrington Hall D,Administrative Sanction,25,8,2019
19-12180,0132,8/25/19,Underage Consumption,South Academy Residence Hall,Administrative Sanction,25,8,2019
19-12180,0245,8/25/19,Underage Consumption,McDowell Hall,Administrative Sanction,25,8,2019
19-12198,1401,8/24/19,Damaged Property,McDowell Hall,Pending,24,8,2019
19-12219,1955,8/25/19,Underage Consumption,Ray Street Hall B,Administrative Sanction,25,8,2019
19-12229,2127,8/25/19,Possession of a Fictitious License,Independence Hall,Administrative Sanction,25,8,2019
19-12235,2250,8/25/19,Possession of Marijuana,East Delaware Ave/Scholar Dr,Civil Assessment,25,8,2019
19-12239,0002,8/26/19,DUI,Ogletown Rd/Marrows Rd,Arrest,26,8,2019
19-12252,0248,8/26/19,Underage Consumption,Louis Redding Hall,Administrative Sanction,26,8,2019
19-12292,1636,8/25/19,Theft,Sharp Lab,Pending,25,8,2019
19-12314,2205,8/26/19,Harassment,Trabant University Center,Pending,26,8,2019
19-12317,0010,8/27/19,Underage Consumption,South Academy Residence Hall,Civil Assessment,27,8,2019
19-12325,0610,8/26/19,Theft,Rust Arena,Pending,26,8,2019
19-12350,1444,8/20/19,Theft,De Biotechnology Institute,Pending,20,8,2019
19-12381,0034,8/28/19,Underage Consumption,James Smith Hall,Civil Assessment,28,8,2019
19-12391,0237,8/28/19,Underage Consumption,Smyth Hall,Exceptionally Clear,28,8,2019
19-12397,0737,8/23/19,Theft,Hugh Morris Library,Pending,23,8,2019
19-12409,1009,8/27/19,Theft,South Academy Residence Hall,Pending,27,8,2019
19-12421,1257,8/28/19,Disorderly Conduct,Hugh Morris Library,Arrest,28,8,2019
19-12425,1444,8/28/19,Fraud,Student Services Building,Pending,28,8,2019
19-12432,1608,8/28/19,Possession of Marijuana,New Castle Residence Hall,Civil Assessment,28,8,2019
19-12434,1641,8/28/19,Harassment,UDPD,Pending,28,8,2019
19-12460,0213,8/29/19,Underage Consumption,Lane Hall,Administrative Sanction,29,8,2019
19-12489,1638,8/21/19,Motor Vehicle Collision (Hit & Run),Ray Street,Pending,21,8,2019
19-12494,1729,8/29/19,Criminal Impersonation,UDPD,Pending,29,8,2019
19-12509,2122,8/29/19,Theft,Sussex Hall,Arrest,29,8,2019
